station_name,address,latitude,longitude,capacity_kw,total_chargers,slow_chargers,fast_chargers,outlet_chargers
강동구청,서울 강동구 성내로 25(강동구청),37.52983045781826,127.12484688146407,200,2,0,2,0
도곡2동 주민센터,서울 강남구 남부순환로378길 34-9(도곡2동주민센터),37.483704069553625,127.04639624388588,100,1,0,1,0
사당문화회관 부설주차장,서울 동작구 사당동 232-1,37.48411194605311,126.9676292993049,50,1,0,1,0
빙수골 거주자우선주차장,서울 동작구 상도동 299-16,37.4953520473953,126.931894530786,50,1,0,1,0
논현문화마루,서울 강남구 논현동 40-5,37.5138917080133,127.027105932066,100,1,0,1,0
강동구청 제2구민체육센터,서울 강동구 강일동 665-4(강일동공영주차장),37.566965486874786,127.17278566196487,300,3,0,3,0
서울특별시 동부기술교육원,서울 강동구 고덕로 183(서울특별시 동부기술교육원),37.5558598480586,127.1449730024241,200,4,0,4,0
화곡본동주민센터,서울 강서구 초록마을로5길 29(화곡본동주민센터),37.5440482285823,126.847663387088,100,1,0,1,0
으뜸공원 주차장,서울 관악구 신림동 210,37.4683323943052,126.945384599661,100,2,0,2,0
연남동 공영주차장,서울 마포구 연남동 361-9,37.5661738877069,126.919031761617,400,4,0,4,0
앵봉산가족캠핑장,서울 은평구 통일로 1055(앵봉산 가족캠핑장 공중화장실),37.6358498290186,126.914322557084,200,2,0,2,0
아현2구역 공영주차장,서울 마포구 신촌로28길 29,37.5563553774759,126.950315049266,350,7,0,7,0
신사1동 공동주차장,서울 은평구 신사동 23-16,37.5963562772052,126.91382795414079,200,2,0,2,0
신도림역 공영주차장,서울 구로구 구로동 1-4,37.5073085104332,126.891739287094,100,2,0,2,0
서울월드컵경기장,서울 마포구 월드컵로 240(월드컵주경기장),37.5682884450841,126.897273034482,1500,15,0,15,0
마포유수지 공영주차장,서울 마포구 마포대로1길 9,37.5392111250093,126.94339968388,400,4,0,4,0
마포농수산물시장,"서울 마포구 월드컵로 235(마포농수산물시장,마포구시설관리공단)",37.5651993471439,126.898482842617,450,5,0,5,0
독립문문화공원 지하공영주차장,서울 서대문구 성산로 700(서대문경찰서교통센터),37.5715112214847,126.959796719242,600,6,0,6,0
노송길 공동주차장,서울 은평구 역촌동 60-22,37.60436231713959,126.91484643984997,200,2,0,2,0
구파발역 공영주차장,서울 은평구 진관동 70-1(구파발역복합환승센터),37.6380546927235,126.919135891799,200,2,0,2,0
구로2동 주택가 공영주차장,서울 구로구 중앙로8길 16(고척1동마을공영주차장),37.5023065192619,126.86389101722,250,5,0,5,0
관악구 노인회관 50+센터,서울 관악구 관악로5길 95,37.4770957582399,126.951264548995,50,1,0,1,0
고척1동 마을 공영주차장,서울 구로구 중앙로8길 16(고척1동마을공영주차장),37.5023065192619,126.86389101722,250,5,0,5,0
장안동근린공원 지하주차장,서울 동대문구 장한로 191(동대문구청소년독서실),37.57677152500417,127.07185160495808,200,2,0,2,0
숭인도담공영주차장,서울 종로구 숭인동 462,37.5784676343263,127.021549179269,100,1,0,1,0
종로구구민회관,"서울 종로구 지봉로5길 7-5(종로구구민회관, 보건소통합청)",37.57339580584186,127.01404818379888,100,1,0,1,0
청량리동주차장,서울 동대문구 홍릉로12길 18(청량리동공영주차장),37.5854353415823,127.044533006482,100,1,0,1,0
배봉공영주차장,서울 동대문구 망우로18나길 20(휘경중학교),37.58689524614844,127.06203941890661,200,2,0,2,0
